Date,Last,Settlement Price,Change,% Change,Bid,Ask,Open Interest,CVol,Open,High,Low
9/12/18,3.54,3.53,-0.14,-3.89,3.53,3.54,982915.00,412447,3.66,3.66,3.51
9/11/18,3.67,3.67,0,-0.14,3.66,3.67,984315.00,109822,3.67,3.69,3.66
9/10/18,3.67,3.67,0,0.07,3.67,3.68,990680.00,120087,3.67,3.68,3.64
9/7/18,3.68,3.67,0.01,0.2,3.67,3.68,992190.00,113241,3.66,3.69,3.64
9/6/18,3.67,3.66,0.01,0.27,3.66,3.67,989938.00,118113,3.66,3.68,3.64
9/5/18,3.65,3.65,-0.03,-0.81,3.65,3.66,995478.00,161686,3.69,3.7,3.64
9/4/18,3.69,3.68,0.03,0.89,3.69,3.69,1004304.00,201788,3.66,3.69,3.61
08/31/18,3.66,3.65,0.08,2.38,3.66,3.66,995870.00,206221,3.56,3.66,3.56
08/30/18,3.56,3.57,0,0,3.56,3.57,986556.00,219168,3.57,3.59,3.56
08/29/18,3.57,3.57,0,0.07,3.57,3.57,963576.00,225431,3.56,3.59,3.55
08/28/18,3.56,3.56,-0.05,-1.45,3.56,3.56,943744.00,232294,3.61,3.63,3.56
08/27/18,3.61,3.62,-0.01,-0.34,3.61,3.61,926628.00,197910,3.63,3.63,3.58
08/24/18,3.63,3.63,0.02,0.48,3.63,3.63,915858.00,168384,3.61,3.65,3.61
08/23/18,3.61,3.61,-0.06,-1.57,3.61,3.61,889043.00,227695,3.68,3.7,3.61
08/22/18,3.67,3.67,-0.08,-2,3.67,3.67,879888.00,160077,3.74,3.74,3.67
08/21/18,3.74,3.74,-0.02,-0.6,3.74,3.74,882374.00,135662,3.77,3.78,3.73
08/20/18,3.78,3.77,-0.02,-0.59,3.78,3.78,884927.00,130960,3.8,3.81,3.74
08/17/18,3.79,3.79,-0.01,-0.26,3.79,3.79,877131.00,126694,3.8,3.83,3.76
08/16/18,3.8,3.8,0.04,1,3.8,3.8,875362.00,109870,3.76,3.82,3.75
08/15/18,3.76,3.76,-0.01,-0.13,3.76,3.76,867821.00,125629,3.77,3.78,3.73
08/14/18,3.77,3.77,0.06,1.62,3.76,3.77,861268.00,152312,3.71,3.77,3.71
08/13/18,3.71,3.71,-0.01,-0.34,3.71,3.71,843622.00,215084,3.72,3.72,3.66
8/10/18,3.71,3.72,-0.11,-2.87,3.71,3.72,820421.00,308641,3.82,3.84,3.71
8/9/18,3.83,3.83,-0.02,-0.58,3.82,3.83,815241.00,198325,3.85,3.87,3.8
8/8/18,3.85,3.85,0,0.13,3.85,3.85,804531.00,156202,3.85,3.88,3.84
8/7/18,3.85,3.85,-0.01,-0.19,3.85,3.85,803169.00,202109,3.85,3.88,3.83
8/6/18,3.85,3.85,0.01,0.26,3.85,3.85,807913.00,98617,3.85,3.86,3.83
8/3/18,3.84,3.84,0.03,0.79,3.84,3.85,808689.00,123360,3.81,3.86,3.79
8/2/18,3.82,3.81,0.02,0.46,3.82,3.82,808149.00,246583,3.8,3.87,3.79
8/1/18,3.8,3.8,,,3.8,3.8,817895.00,208725,3.86,3.87,3.78
